"p_val","avg_logFC","pct.1","pct.2","p_val_adj","type","gene"
"CHST2",3.44213213587243e-58,0.810712939308419,0.22,0.014,1.1538371132658e-53,"NK","CHST2"
"RPS23",9.4938417298562e-58,-0.493679244647465,0.99,0.997,3.1824306862651e-53,"NK","RPS23"
"RPS4X",1.03656280890029e-57,-0.49847157164016,0.994,1,3.47466219171465e-53,"NK","RPS4X"
"CD3G",7.23456767858048e-57,-1.22005799254073,0.107,0.649,2.42509943153696e-52,"NK","CD3G"
"CD71",5.4051545890963e-56,0.834672918490417,0.871,0.62,1.81186186981097e-51,"NK","CD7"
"RPL9",6.06387192133715e-55,-0.466667769397917,0.987,1,2.03267050675143e-50,"NK","RPL9"
"CCL41",1.92145839876111e-54,0.994239106413039,0.744,0.375,6.44092069848712e-50,"NK","CCL4"
"RPL12",5.56443858006657e-54,-0.485444938752639,0.987,0.998,1.86525545642411e-49,"NK","RPL12"
"RPLP0",1.52072729771203e-53,-0.633665487845504,0.832,0.976,5.09762997466049e-49,"NK","RPLP0"
"RPS3A",2.54108310930984e-53,-0.403054764863648,0.997,1,8.51796469071751e-49,"NK","RPS3A"
"SH2D1B",2.92828082899526e-53,0.754772790872247,0.233,0.022,9.81589016687502e-49,"NK","SH2D1B"
"RPL31",1.09243063481269e-52,-0.441364292561647,0.984,0.997,3.66193673095561e-48,"NK","RPL31"
"RPS16",2.31990671087888e-52,-0.481769262051589,0.964,0.997,7.77655928553709e-48,"NK","RPS16"
"RPS20",4.8058796628208e-52,-0.477357058765823,0.971,0.994,1.61097892177416e-47,"NK","RPS20"
"CTSW1",6.17905348572496e-51,0.719943407861854,0.916,0.695,2.07128051894986e-46,"NK","CTSW"
"LTB1",1.06564886246798e-50,-1.36044183543726,0.294,0.728,3.57216155187893e-46,"NK","LTB"
"RPL10A",1.63250193144967e-50,-0.492409028865945,0.939,0.994,5.47230972441242e-46,"NK","RPL10A"
"RPL30",1.86586601011827e-50,-0.409347927802511,0.981,1,6.25456945251744e-46,"NK","RPL30"
"RPS13",2.41210872555975e-50,-0.499571265533727,0.974,0.996,8.08562965894882e-46,"NK","RPS13"
"RPL27A",4.49983927914126e-50,-0.352696634227051,0.994,0.999,1.50839112476094e-45,"NK","RPL27A"
"RPS9",6.27255386673575e-50,-0.477027505487837,0.945,0.99,2.10262278166849e-45,"NK","RPS9"
"ID2",8.04678859556201e-49,0.863993246556199,0.841,0.6,2.69736400511834e-44,"NK","ID2"
"RPS21",2.48668849852624e-48,-0.458946052668234,0.948,0.99,8.3356285159098e-44,"NK","RPS21"
"RPL26",3.00252552787597e-48,-0.368726150703881,0.99,0.999,1.0064765821993e-43,"NK","RPL26"
"RPL35",9.92182017596682e-48,-0.403561389463522,0.984,0.997,3.32589334118584e-43,"NK","RPL35"
"RPL7",1.75569404840422e-47,-0.414331000821916,0.974,1,5.88526201965578e-43,"NK","RPL7"
"HOPX",2.64396810651637e-47,0.905876483056366,0.712,0.399,8.86284548985352e-43,"NK","HOPX"
"RPS17",5.36514438901429e-47,-0.407303783238297,0.984,0.997,1.79845005064148e-42,"NK","RPS17"
